4.55, 15.8, 0
4.55, 15.8, 0
3.65, 15.05, 0
3.6, 14.75, 0
3.1, 13.5, 0
2.95, 12.75, 0
2.7, 11.65, 0
3.4, 9.1, 0
6.7, 6.9, 0
10.4, 6.2, 0
14, 6.75, 0
15.75, 8.15, 0
15.75, 11.75, 0
14.3, 15.15, 0
11.15, 17.45, 0
8.85, 17.7, 0
6.9, 16.85, 0
5.2, 16.05, 0
9.1, 12.3, 1
8.7, 12.55, 1
8.75, 11.2, 1
9.65, 10.85, 1
10.3, 11.8, 1
9.35, 13.1, 1
8.3, 13.1, 1
9.75, 10.95, 1
10.5, 11.25, 1
9.4, 13.05, 1
7.8, 12.55, 1
7.9, 10.7, 1
10.2, 9.95, 1
11.35, 12.3, 1
9.65, 13.7, 1
8.1, 13.6, 1
9, 10.7, 1
13.75, 3.5, 0
15.95, 6.75, 0
16.8, 2.85, 0
5.3, 0.5, 0
2.35, 3.2, 0
2.3, 7.45, 0
11.5, 1.4, 0
5.85, 2.5, 0
5.05, 4.75, 0
16.9, 16.6, 0
18.05, 11.05, 0
16.85, 19.5, 0
8.55, 20, 0
4.1, 20.2, 0
2.4, 17.15, 0
3.95, 19, 0
2.45, 19.7, 0
13.1, 19.9, 0
15.1, 17.65, 0
1.55, 11.8, 0
1.2, 7, 0
